
Coin, Height, Length, Frequency, Average Amplitude, Highest Amplitude  

c,30 cm,30 cm,225.46,135.5422943221321,3266     
c,30 cm,30 cm,215.6,91.92721979621543,1880      
c,30 cm,30 cm,237.69,116.56015399422522,3057    
c,30 cm,30 cm,222.42,125.93686502177069,2606    
c,30 cm,30 cm,204.87,135.98729582577133,2876    
c,10 cm,30 cm,231.7,121.73983739837398,1806     

c,10 cm,30 cm,231.7,121.73983739837398,1806
c,10 cm,30 cm,197.62,99.62155782848151,2098
c,10 cm,30 cm,165.25,111.80298913043478,1952
c,10 cm,30 cm,163.78,160.58106508875738,2202
c,10 cm,30 cm,199.27,111.60186142709411,2578

c,30 cm,10 cm,203.73,130.19850885368126,4024
c,30 cm,10 cm,218.78,114.66921119592875,3614
c,30 cm,10 cm,196.74,120.15518239722061,4019
c,30 cm,10 cm,182.96,152.41592920353983,4020
c,30 cm,10 cm,197.39,116.27182662538699,4018

c,10 cm,10 cm,242.88,97.18559122944401,3422
c,10 cm,10 cm,199.64,123.41532639545885,3354
c,10 cm,10 cm,223.34,97.71355498721228,3922
c,10 cm,10 cm,209.94,126.52941176470588,3498
c,10 cm,10 cm,185.92,202.6302032913843,4019





c,30 cm,10 cm,203.73,130.19850885368126,4024
c,30 cm,10 cm,218.78,114.66921119592875,3614
c,30 cm,10 cm,196.74,120.15518239722061,4019
c,30 cm,10 cm,182.96,152.41592920353983,4020
c,30 cm,10 cm,197.39,116.27182662538699,4018
c,10 cm,10 cm,242.88,97.18559122944401,3422
c,10 cm,10 cm,199.64,123.41532639545885,3354
c,10 cm,10 cm,223.34,97.71355498721228,3922
c,10 cm,10 cm,209.94,126.52941176470588,3498
c,10 cm,10 cm,185.92,202.6302032913843,4019
e,30 cm,10 cm,131.43,162.9075630252101,2416
e,30 cm,10 cm,147.16,181.69164265129683,3263
e,30 cm,10 cm,118.75,166.9030303030303,2370
e,30 cm,10 cm,122.4,148.96391752577318,2235
e,30 cm,10 cm,117.72,176.26618705035972,3392
e,10 cm,10 cm,128.26,129.01162790697674,2099
e,10 cm,10 cm,109.45,152.78274760383385,3242
e,10 cm,10 cm,110.73,110.94685990338164,2962
e,10 cm,10 cm,92.06,134.26666666666668,1842
e,10 cm,10 cm,108.05,137.2991452991453,2074
c,30 cm,30 cm,225.46,135.5422943221321,3266
c,30 cm,30 cm,215.6,91.92721979621543,1880
c,30 cm,30 cm,237.69,116.56015399422522,3057
c,30 cm,30 cm,222.42,125.93686502177069,2606
c,30 cm,30 cm,204.87,135.98729582577133,2876
c,10 cm,30 cm,231.7,121.73983739837398,1806
c,10 cm,30 cm,197.62,99.62155782848151,2098
c,10 cm,30 cm,165.25,111.80298913043478,1952
c,10 cm,30 cm,163.78,160.58106508875738,2202
c,10 cm,30 cm,199.27,111.60186142709411,2578
e,30 cm,30 cm,121.66,180.94594594594594,2669
e,30 cm,30 cm,112.99,179.7584745762712,2616
e,30 cm,30 cm,117.85,159.432,1922
e,30 cm,30 cm,122.68,158.0381679389313,1638
e,30 cm,30 cm,124.28,153.609375,1942
e,10 cm,30 cm,127.9,135.32743362831857,1094
e,10 cm,30 cm,131.01,118.20361990950227,760
e,10 cm,30 cm,113.06,108.68838526912181,1200
e,10 cm,30 cm,126.78,116.12820512820512,1118
e,10 cm,30 cm,115.69,122.14558472553699,1412
others,far cm,10 cm,82.9,73.6092715231788,450
others,far cm,10 cm,111.68,72.79629629629629,394
