#1010
c1,st cm,r8 cm,227.46,126.72494669509595,4024
c2,st cm,r8 cm,264.61,113.53877831159917,3618
c3,st cm,r8 cm,230.22,130.79566160520608,3858
c4,st cm,r8 cm,219.59,88.80583812472358,3372
c5,st cm,r8 cm,233.28,111.00980911983032,3945
#1010
c1,sp cm,in cm,245.39,90.62037351443124,2307
c2,sp cm,in cm,238.33,113.02395915161037,2582
c3,sp cm,in cm,223.74,104.91687448046551,3125
c4,sp cm,in cm,239.72,98.91048387096774,2627
c5,sp cm,in cm,239.23,101.57574692442883,1739

#1030
c6,st cm,r8 cm,277.4,2858
c7,st cm,r8 cm,255.0,3314
c8,st cm,r8 cm,233.16,2344
c9,st cm,r8 cm,221.24,2856
c0,st cm,r8 cm,223.42,3486

c6,sp cm,in cm,238.73,1592
c7,sp cm,in cm,237.81,1346
c7,sp cm,in cm,236.75,1930
c8,sp cm,in cm,211.29,1502
c9,sp cm,in cm,217.68,1746

#3030
st,r8 cm,31 cm,243.48,4030
st,r8 cm,22 cm,229.25,3947
st,r8 cm,12 cm,233.43,4026
st,r8 cm,12 cm,208.99,4030
st,r8 cm,12 cm,237.88,4026

sp,in cm,11 cm,240.04,3262
sp,in cm,12 cm,237.25,3762
sp,in cm,12 cm,233.06,3888
sp,in cm,12 cm,238.29,3233
sp,in cm,12 cm,200.13,2150
sp,on cm,ge cm,200.12,80
sp,on cm,2g cm,5.95,29
sp,on cm,33 cm,162.93,72
ru,bb cm,er cm,244.12,46
c, cm, cm,227.4,43
cf,ar cm,30 cm,204.87,4026
